TS,label,value
2015-03-27_00:00:00,A,5.27001999999993
2015-03-28_00:00:00,N,4.62011699999948
2015-03-29_00:00:00,A,4.65966800000024
2015-03-30_00:00:00,N,4.72021500000028
2015-03-31_00:00:00,N,4.62011699999948
2015-04-01_00:00:00,A,5.40966800000024
2015-04-02_00:00:00,A,5.28027300000031
2015-04-03_00:00:00,B,3.95019599999978
2015-04-04_00:00:00,B,4.25976499999979
2015-04-05_00:00:00,N,4.56982500000049
2015-04-06_00:00:00,N,4.6303710000002
2015-04-07_00:00:00,A,4.25976499999979
2015-04-08_00:00:00,A,4.08984400000008
2015-04-09_00:00:00,N,4
2015-04-10_00:00:00,A,3.49023399999987
2015-04-11_00:00:00,N,2.91992200000004
2015-04-12_00:00:00,A,2.39013699999941
2015-04-13_00:00:00,N,2.12011700000039
2015-04-14_00:00:00,N,1.83984400000009
2015-04-15_00:00:00,N,1.93994099999964
2015-04-16_00:00:00,B,2.16992200000004
2015-04-17_00:00:00,N,2.26025400000071
2015-04-18_00:00:00,A,2.21972699999969
2015-04-19_00:00:00,N,2.93994099999964
2015-04-20_00:00:00,A,2.66015599999991
2015-04-21_00:00:00,N,2.27001999999993
2015-04-22_00:00:00,N,2.33007799999996
2015-04-23_00:00:00,B,2.50976600000013
2015-04-24_00:00:00,B,2.24023399999987
2015-04-25_00:00:00,A,1.67968700000074
2015-04-26_00:00:00,A,2.17041100000006
2015-04-27_00:00:00,B,3.29980399999931
2015-04-28_00:00:00,B,3.72021500000028
2015-04-29_00:00:00,N,3.3696289999998
2015-04-30_00:00:00,B,2.49023399999987
2015-05-01_00:00:00,A,2.0800790000003
2015-05-02_00:00:00,B,1.68994099999964
2015-05-03_00:00:00,N,1.56005900000037
2015-05-04_00:00:00,B,1.90966800000024
2015-05-05_00:00:00,A,1.8803710000002
2015-05-06_00:00:00,N,1.6396479999994
2015-05-07_00:00:00,N,1.54003900000043
2015-05-08_00:00:00,A,1.37011699999948
2015-05-09_00:00:00,B,1.27001999999993
2015-05-10_00:00:00,B,1.2700190000005
2015-05-11_00:00:00,N,1.41992200000004
2015-05-12_00:00:00,A,1.31005899999946
2015-05-13_00:00:00,A,1.29003900000043
2015-05-14_00:00:00,B,1.16992200000004
2015-05-15_00:00:00,N,1.16992200000004
2015-05-16_00:00:00,A,1.14013599999998
2015-05-17_00:00:00,A,1.20019599999978
2015-05-18_00:00:00,B,1.3696289999998
2015-05-19_00:00:00,N,1.45996100000048
2015-05-20_00:00:00,B,0.42040999999972
2015-05-21_00:00:00,B,2.38964800000031
2015-05-27_00:00:00,N,7.2602539999998
2015-05-28_00:00:00,N,1.2397460000002
2015-05-29_00:00:00,A,1.16015599999992
2015-05-30_00:00:00,N,1.06005899999946
2015-05-31_00:00:00,A,1.06005900000037
2015-06-01_00:00:00,A,1
2015-06-02_00:00:00,N,1.04980400000022
2015-06-03_00:00:00,B,1.0102539999998
2015-06-04_00:00:00,N,0.929688000000169
2015-06-05_00:00:00,A,0.810058000000026
2015-06-06_00:00:00,N,0.770019999999931
2015-06-07_00:00:00,A,0.77978499999972
2015-06-08_00:00:00,A,0.810059000000365
2015-06-09_00:00:00,B,0.810058000000026
2015-06-10_00:00:00,B,0.879882999999609
2015-06-11_00:00:00,B,0.890137000000323
2015-06-12_00:00:00,N,0.85009699999955
2015-06-13_00:00:00,N,0.830077999999958
2015-06-14_00:00:00,A,0.949707000000672
2015-06-15_00:00:00,A,0.979980999999498
2015-06-16_00:00:00,B,1.05029300000024
2015-06-17_00:00:00,B,1.06982400000015
2015-06-18_00:00:00,N,1.09033199999976
2015-06-19_00:00:00,B,1
2015-06-20_00:00:00,A,0.979981000000407
2015-06-21_00:00:00,A,0.949706999999762
